downstep	lexical_tone	ip_boundary	vowel_number_in_utterance	phone_label	text_name	word_label	utterance_label	utterance_num_within_text
	H		1	e	sxw-T0002-texts-un	le	le nã je nɔ̃ gbɛ̃ aji ɖo xɛ	1
	H		2	a	sxw-T0002-texts-un	na	le nã je nɔ̃ gbɛ̃ aji ɖo xɛ	1
	Ø		3	e	sxw-T0002-texts-un	je	le nã je nɔ̃ gbɛ̃ aji ɖo xɛ	1
	Ø		4	ɔ	sxw-T0002-texts-un	nɔ	le nã je nɔ̃ gbɛ̃ aji ɖo xɛ	1
	L		5	ɛ	sxw-T0002-texts-un	gbɛ	le nã je nɔ̃ gbɛ̃ aji ɖo xɛ	1
	Ø		6	a	sxw-T0002-texts-un	aji	le nã je nɔ̃ gbɛ̃ aji ɖo xɛ	1
	Ø		7	i	sxw-T0002-texts-un	aji	le nã je nɔ̃ gbɛ̃ aji ɖo xɛ	1
	H		8	o	sxw-T0002-texts-un	ɖo	le nã je nɔ̃ gbɛ̃ aji ɖo xɛ	1
!	H	utt%	9	ɛ	sxw-T0002-texts-un	xɛ	le nã je nɔ̃ gbɛ̃ aji ɖo xɛ	1
	H		1	a	sxw-T0002-texts-un	na	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	2
	Ø		2	a	sxw-T0002-texts-un	aji	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	2
	Ø		3	i	sxw-T0002-texts-un	aji	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	2
!	H		4	a	sxw-T0002-texts-un	la	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	2
	H		5	ɛ	sxw-T0002-texts-un	sjɛ	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	2
	L	top%	6	ɔ	sxw-T0002-texts-un	vɔ	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	2
	Ø		7	e	sxw-T0002-texts-un	je	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	2
	Ø		8	a	sxw-T0002-texts-un	na	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	2
	L		9	a	sxw-T0002-texts-un	va	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	2
	Ø		10	i	sxw-T0002-texts-un	ji	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	2
	L	utt%	11	ɛ	sxw-T0002-texts-un	gbɛ	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	2
	Ø		1	e	sxw-T0002-texts-un	je	je gbɛ̃ je nã sɔ xwja do ɦwenũ e ba xu	3
	L	top%	2	ɛ	sxw-T0002-texts-un	gbɛ	je gbɛ̃ je nã sɔ xwja do ɦwenũ e ba xu	3
	Ø		3	e	sxw-T0002-texts-un	je	je gbɛ̃ je nã sɔ xwja do ɦwenũ e ba xu	3
	Ø		4	a	sxw-T0002-texts-un	na	je gbɛ̃ je nã sɔ xwja do ɦwenũ e ba xu	3
	H		5	ɔ	sxw-T0002-texts-un	sɔ	je gbɛ̃ je nã sɔ xwja do ɦwenũ e ba xu	3
	H		6	a	sxw-T0002-texts-un	xwja	je gbɛ̃ je nã sɔ xwja do ɦwenũ e ba xu	3
	H		7	o	sxw-T0002-texts-un	do	je gbɛ̃ je nã sɔ xwja do ɦwenũ e ba xu	3
	L		8	e	sxw-T0002-texts-un	ɦwenu	je gbɛ̃ je nã sɔ xwja do ɦwenũ e ba xu	3
	L		9	u	sxw-T0002-texts-un	ɦwenu	je gbɛ̃ je nã sɔ xwja do ɦwenũ e ba xu	3
	H		10	e	sxw-T0002-texts-un	e	je gbɛ̃ je nã sɔ xwja do ɦwenũ e ba xu	3
	Ø		11	a	sxw-T0002-texts-un	ba	je gbɛ̃ je nã sɔ xwja do ɦwenũ e ba xu	3
!	H	utt%	12	u	sxw-T0002-texts-un	xu	je gbɛ̃ je nã sɔ xwja do ɦwenũ e ba xu	3
	Ø		1	e	sxw-T0002-texts-un	je	je ba bɛ do ati mɛ a bo twe	4
	L		2	a	sxw-T0002-texts-un	ba	je ba bɛ do ati mɛ a bo twe	4
	H		3	ɛ	sxw-T0002-texts-un	bɛ	je ba bɛ do ati mɛ a bo twe	4
	H		4	o	sxw-T0002-texts-un	do	je ba bɛ do ati mɛ a bo twe	4
	Ø		5	a	sxw-T0002-texts-un	ati	je ba bɛ do ati mɛ a bo twe	4
	Ø		6	i	sxw-T0002-texts-un	ati	je ba bɛ do ati mɛ a bo twe	4
	Ø	%	7	ɛ	sxw-T0002-texts-un	mɛ	je ba bɛ do ati mɛ a bo twe	4
	H		8	a	sxw-T0002-texts-un	a	je ba bɛ do ati mɛ a bo twe	4
	Ø		9	o	sxw-T0002-texts-un	bo	je ba bɛ do ati mɛ a bo twe	4
!	HØ	utt%	10	e	sxw-T0002-texts-un	twe	je ba bɛ do ati mɛ a bo twe	4
	Ø		1	e	sxw-T0002-texts-un	je	je twe vɔ je nã fwi a bo dwe dɔkpo mɛ	5
	H		2	e	sxw-T0002-texts-un	twe	je twe vɔ je nã fwi a bo dwe dɔkpo mɛ	5
	L	top%	3	ɔ	sxw-T0002-texts-un	vɔ	je twe vɔ je nã fwi a bo dwe dɔkpo mɛ	5
	Ø		4	e	sxw-T0002-texts-un	je	je twe vɔ je nã fwi a bo dwe dɔkpo mɛ	5
	Ø		5	a	sxw-T0002-texts-un	na	je twe vɔ je nã fwi a bo dwe dɔkpo mɛ	5
	HØ	%	6	i	sxw-T0002-texts-un	fwi	je twe vɔ je nã fwi a bo dwe dɔkpo mɛ	5
	H		7	a	sxw-T0002-texts-un	a	je twe vɔ je nã fwi a bo dwe dɔkpo mɛ	5
	H		8	o	sxw-T0002-texts-un	bo	je twe vɔ je nã fwi a bo dwe dɔkpo mɛ	5
	L		9	e	sxw-T0002-texts-un	dwe	je twe vɔ je nã fwi a bo dwe dɔkpo mɛ	5
	L		10	ɔ	sxw-T0002-texts-un	dɔkpo	je twe vɔ je nã fwi a bo dwe dɔkpo mɛ	5
	Ø		11	o	sxw-T0002-texts-un	dɔkpo	je twe vɔ je nã fwi a bo dwe dɔkpo mɛ	5
	Ø	utt%	12	ɛ	sxw-T0002-texts-un	mɛ	je twe vɔ je nã fwi a bo dwe dɔkpo mɛ	5
	Ø		1	a	sxw-T0003-texts-un	naɖe	nãɖe lɛ je nɔ̃ gbɛ̃ aji ɖo	1
	H		2	e	sxw-T0003-texts-un	naɖe	nãɖe lɛ je nɔ̃ gbɛ̃ aji ɖo	1
	Ø		3	ɛ	sxw-T0003-texts-un	lɛ	nãɖe lɛ je nɔ̃ gbɛ̃ aji ɖo	1
	Ø		4	e	sxw-T0003-texts-un	je	nãɖe lɛ je nɔ̃ gbɛ̃ aji ɖo	1
	Ø		5	ɔ	sxw-T0003-texts-un	nɔ	nãɖe lɛ je nɔ̃ gbɛ̃ aji ɖo	1
	L		6	ɛ	sxw-T0003-texts-un	gbɛ	nãɖe lɛ je nɔ̃ gbɛ̃ aji ɖo	1
	Ø		7	a	sxw-T0003-texts-un	aji	nãɖe lɛ je nɔ̃ gbɛ̃ aji ɖo	1
	Ø		8	i	sxw-T0003-texts-un	aji	nãɖe lɛ je nɔ̃ gbɛ̃ aji ɖo	1
	H	utt%	9	o	sxw-T0003-texts-un	ɖo	nãɖe lɛ je nɔ̃ gbɛ̃ aji ɖo	1
