sl_rowIdx	labels	start	end	db_uuid	session	bundle	start_item_id	end_item_id	level	attribute	start_item_seq_idx	end_item_seq_idx	type	sample_start	sample_end	sample_rate	times_orig	times_rel	times_norm	F1	F2	F3	F4	RMS	word_label	check_bundle	word_start	word_end	position_in_word
 1	u	 82781.98	 82851.98	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark02vox_ker	 334	 334	phone	phone	  24	  24	SEGMENT	 3650686	 3653772	44100	 82816.98	 35.00000	0.5	307.0	 809.5	2336.5	3387.5	70.66767	gud	mark02vox_ker	 82681.98	 82961.98	0.4821429
 2	u	232089.99	232149.99	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark02vox_ker	 628	 628	phone	phone	 318	 318	SEGMENT	10235169	10237814	44100	232119.99	 30.00000	0.5	318.0	 834.0	2073.0	3023.0	74.18853	kuy	mark02vox_ker	231999.99	232279.99	0.4285714
 3	u	248335.98	248385.98	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark02vox_ker	 827	 827	phone	phone	 517	 517	SEGMENT	10951617	10953821	44100	248360.98	 25.00000	0.5	256.5	 963.0	2318.5	3111.0	72.81623	ku	mark02vox_ker	248235.98	248385.98	0.8333333
 4	u	310459.99	310519.99	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark02vox_ker	1135	1135	phone	phone	 825	 825	SEGMENT	13691286	13693931	44100	310489.99	 30.00000	0.5	347.0	 662.0	2444.0	3015.0	73.02806	kumna	mark02vox_ker	310389.99	310669.99	0.3571429
 5	u	321589.97	321669.99	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark02vox_ker	1259	1259	phone	phone	 949	 949	SEGMENT	14182118	14185646	44100	321629.98	 40.01134	0.5	307.5	 706.5	2501.5	3298.0	72.43882	ku	mark02vox_ker	321479.99	321669.99	0.7894140
 6	u	274397.97	274447.97	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark03vox_ker	 231	 231	phone	phone	  34	  34	SEGMENT	12100951	12103155	44100	274422.97	 25.00000	0.5	293.0	 787.0	2407.5	3365.0	75.01277	kumna	mark03vox_ker	274327.97	274607.97	0.3392857
 7	uː	276567.97	276657.97	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark03vox_ker	 259	 259	phone	phone	  62	  62	SEGMENT	12196648	12200616	44100	276612.97	 45.00000	0.5	346.0	 901.5	2246.0	3065.5	71.25211	aduubə	mark03vox_ker	276377.97	276717.97	0.6911765
 8	u	296147.97	296257.97	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark03vox_ker	 450	 450	phone	phone	 253	 253	SEGMENT	13060126	13064976	44100	296202.97	 55.00000	0.5	403.5	 746.5	2454.5	3028.0	75.85331	kumna	mark03vox_ker	296067.97	296467.97	0.3375000
 9	u	380706.97	380756.97	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark03vox_ker	 730	 730	phone	phone	 533	 533	SEGMENT	16789178	16791382	44100	380731.97	 25.00000	0.5	322.5	 853.5	2085.0	3262.0	75.51020	gud	mark03vox_ker	380656.97	380836.97	0.4166667
10	u	 40349.99	 40389.99	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark04vox_ker	1088	1088	phone	phone	  95	  95	SEGMENT	 1779435	 1781198	44100	 40369.99	 20.00000	0.5	275.0	1471.0	2179.0	3408.5	60.13331	kuya	mark04vox_ker	 40279.99	 40529.99	0.3600000
11	u	 48049.99	 48089.99	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark04vox_ker	1172	1172	phone	phone	 179	 179	SEGMENT	 2119005	 2120768	44100	 48069.99	 20.00000	0.5	291.5	 974.5	2288.5	3124.0	66.74231	duŋ	mark04vox_ker	 47979.99	 48149.99	0.5294118
12	u	 58609.99	 58679.99	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark04vox_ker	1282	1282	phone	phone	 289	 289	SEGMENT	 2584701	 2587787	44100	 58644.99	 35.00000	0.5	293.5	 753.5	2175.0	3703.0	68.57483	gud	mark04vox_ker	 58559.99	 58759.99	0.4250000
13	u	 60159.99	 60419.99	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark04vox_ker	1298	1298	phone	phone	 305	 305	SEGMENT	 2653056	 2664521	44100	 60289.99	130.00000	0.5	365.5	 803.5	2291.0	3299.0	70.37381	du	mark04vox_ker	 60089.99	 60419.99	0.6060606
14	u	 76169.99	 76289.99	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark04vox_ker	1446	1446	phone	phone	 453	 453	SEGMENT	 3359097	 3364388	44100	 76229.99	 60.00000	0.5	341.0	 912.0	2440.0	2983.0	73.81488	suŋ	mark04vox_ker	 75999.99	 76369.99	0.6216216
15	u	108619.99	108659.99	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark04vox_ker	1607	1607	phone	phone	 614	 614	SEGMENT	 4790142	 4791905	44100	108639.99	 20.00000	0.5	293.0	 741.0	2541.0	3519.5	71.46956	kumna	mark04vox_ker	108519.99	108819.99	0.4000000
16	u	134719.99	134759.99	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark04vox_ker	1805	1805	phone	phone	 812	 812	SEGMENT	 5941152	 5942915	44100	134739.99	 20.00000	0.5	285.5	 854.0	2330.5	3252.0	72.16817	gud	mark04vox_ker	134649.99	134819.99	0.5294118
17	u	134879.99	134949.97	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark04vox_ker	1808	1808	phone	phone	 815	 815	SEGMENT	 5948208	 5951293	44100	134914.98	 34.98866	0.5	260.0	 674.0	2286.0	3280.5	66.99715	ku	mark04vox_ker	134819.99	134949.97	0.7308095
18	u	138939.99	138979.99	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark04vox_ker	1851	1851	phone	phone	 858	 858	SEGMENT	 6127254	 6129017	44100	138959.99	 20.00000	0.5	276.5	 927.5	2396.5	3402.5	70.39502	gud	mark04vox_ker	138889.97	139039.99	0.4667473
19	u	139139.97	139179.99	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark04vox_ker	1854	1854	phone	phone	 861	 861	SEGMENT	 6136073	 6137837	44100	139159.98	 20.01134	0.5	213.0	 775.0	2575.5	3592.5	61.86352	ku	mark04vox_ker	139039.99	139179.99	0.8570619
20	u	154569.99	154599.99	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark04vox_ker	2030	2030	phone	phone	1037	1037	SEGMENT	 6816537	 6817859	44100	154584.99	 15.00000	0.5	315.5	 849.0	2303.0	3229.5	65.66869	ku	mark04vox_ker	154509.99	154599.99	0.8333333
21	u	180669.97	180709.99	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark04vox_ker	2289	2289	phone	phone	1296	1296	SEGMENT	 7967546	 7969310	44100	180689.98	 20.01134	0.5	335.5	 805.0	2336.0	3257.5	70.16613	gud	mark04vox_ker	180589.99	180769.99	0.5554926
22	u	200739.99	200789.99	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark04vox_ker	2498	2498	phone	phone	1505	1505	SEGMENT	 8852634	 8854838	44100	200764.99	 25.00000	0.5	347.5	 679.5	2375.0	3459.0	71.94545	hurmaŋaŋ	mark04vox_ker	200639.99	201199.99	0.2232143
23	u	204659.99	204739.99	81dd7a54-4e8d-11ea-97ec-ed17b5fdccc7	0000	mark04vox_ker	2536	2536	phone	phone	1543	1543	SEGMENT	 9025506	 9029033	44100	204699.99	 40.00000	0.5	366.5	 930.5	2378.5	3470.5	76.26615	gud	mark04vox_ker	204609.99	204769.99	0.5625000
