sl_rowIdx	labels	start	end	db_uuid	session	bundle	start_item_id	end_item_id	level	attribute	start_item_seq_idx	end_item_seq_idx	type	sample_start	sample_end	sample_rate	times_orig	times_rel	times_norm	F1	F2	F3	F4	RMS	word_label	check_bundle	word_start	word_end	position_in_word
  1	i	 10859.989	 10939.989	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1028	1028	phone	phone	  51	  51	SEGMENT	  478926	  482453	44100	 10899.989	 40.00000	0.5	336.5	2116.0	2574.0	3657.5	77.03859	kristu	mark01vox_ker	 10739.989	 11149.989	0.3902439
  2	iː	 39349.989	 39439.989	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1070	1070	phone	phone	  93	  93	SEGMENT	 1735335	 1739303	44100	 39394.989	 45.00000	0.5	287.5	2285.5	2985.5	3747.5	76.71618	giidə	mark01vox_ker	 39259.989	 39519.989	0.5192308
  3	i	 41179.989	 41239.989	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1086	1086	phone	phone	 109	 109	SEGMENT	 1816038	 1818683	44100	 41209.989	 30.00000	0.5	340.5	2240.5	3061.5	3785.0	77.28607	minti	mark01vox_ker	 41099.989	 41589.989	0.2244898
  4	i	 41399.989	 41589.989	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1089	1089	phone	phone	 112	 112	SEGMENT	 1825740	 1834118	44100	 41494.989	 95.00000	0.5	347.0	2236.0	2848.5	3802.0	78.74670	minti	mark01vox_ker	 41099.989	 41589.989	0.8061224
  5	i	 42849.989	 42889.989	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1099	1099	phone	phone	 122	 122	SEGMENT	 1889685	 1891448	44100	 42869.989	 20.00000	0.5	329.0	2289.0	2711.0	3723.5	74.63091	kirki	mark01vox_ker	 42769.989	 43059.989	0.3448276
  6	i	 43019.989	 43059.989	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1102	1102	phone	phone	 125	 125	SEGMENT	 1897182	 1898945	44100	 43039.989	 20.00000	0.5	341.0	2338.5	2756.5	3720.0	75.49086	kirki	mark01vox_ker	 42769.989	 43059.989	0.9310345
  7	i	 47149.989	 47199.989	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1136	1136	phone	phone	 159	 159	SEGMENT	 2079315	 2081519	44100	 47174.989	 25.00000	0.5	352.5	2187.0	2758.0	3619.5	78.30465	minti	mark01vox_ker	 47069.989	 47499.989	0.2441860
  8	i	 47329.989	 47499.989	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1139	1139	phone	phone	 162	 162	SEGMENT	 2087253	 2094749	44100	 47414.989	 85.00000	0.5	361.5	2196.5	2829.5	3817.5	78.41954	minti	mark01vox_ker	 47069.989	 47499.989	0.8023256
  9	iː	 48489.989	 48569.989	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1151	1151	phone	phone	 174	 174	SEGMENT	 2138409	 2141936	44100	 48529.989	 40.00000	0.5	262.5	2323.0	2972.5	3719.0	71.80021	giidu	mark01vox_ker	 48409.989	 48669.989	0.4615385
 10	iː	 50199.989	 50279.989	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1170	1170	phone	phone	 193	 193	SEGMENT	 2213820	 2217347	44100	 50239.989	 40.00000	0.5	328.5	2264.0	2970.0	3765.0	76.68620	giidə	mark01vox_ker	 50149.989	 50379.989	0.3913043
 11	iː	 56839.989	 56929.989	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1234	1234	phone	phone	 257	 257	SEGMENT	 2506644	 2510612	44100	 56884.989	 45.00000	0.5	312.5	2246.5	2850.0	3646.0	76.99467	jiiniy	mark01vox_ker	 56719.989	 57119.989	0.4125000
 12	i	 56989.989	 57049.989	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1236	1236	phone	phone	 259	 259	SEGMENT	 2513259	 2515904	44100	 57019.989	 30.00000	0.5	384.5	2208.5	2938.5	3856.0	76.31368	jiiniy	mark01vox_ker	 56719.989	 57119.989	0.7500000
 13	i	 65949.989	 65979.989	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1336	1336	phone	phone	 359	 359	SEGMENT	 2908395	 2909717	44100	 65964.989	 15.00000	0.5	224.0	   0.0	2605.0	1633.0	57.64634	jəəji	mark01vox_ker	 65679.989	 65979.989	0.9500000
 14	i	 68749.989	 68789.989	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1361	1361	phone	phone	 384	 384	SEGMENT	 3031875	 3033638	44100	 68769.989	 20.00000	0.5	393.0	2016.0	2621.5	3929.5	78.40030	əntəənti	mark01vox_ker	 68299.989	 68789.989	0.9591837
 15	iː	 97962.982	 98092.982	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1447	1447	phone	phone	 470	 470	SEGMENT	 4320168	 4325900	44100	 98027.982	 65.00000	0.5	273.0	2299.5	3164.5	3688.0	75.56142	giidə	mark01vox_ker	 97892.982	 98262.982	0.3648649
 16	i	105994.977	106044.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1532	1532	phone	phone	 555	 555	SEGMENT	 4674379	 4676583	44100	106019.977	 25.00000	0.5	353.0	2058.0	2522.5	3479.0	78.73505	minti	mark01vox_ker	105944.977	106214.977	0.2777778
 17	i	106174.977	106214.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1535	1535	phone	phone	 558	 558	SEGMENT	 4682317	 4684080	44100	106194.977	 20.00000	0.5	385.5	2013.5	2571.5	3700.0	79.68841	minti	mark01vox_ker	105944.977	106214.977	0.9259259
 18	iː	112164.977	112224.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1606	1606	phone	phone	 629	 629	SEGMENT	 4946476	 4949121	44100	112194.977	 30.00000	0.5	306.0	2183.0	2882.0	3678.5	75.01595	tiiru	mark01vox_ker	112064.977	112324.977	0.5000000
 19	iː	130544.977	130614.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1677	1677	phone	phone	 700	 700	SEGMENT	 5757034	 5760120	44100	130579.977	 35.00000	0.5	299.5	2262.5	2768.5	3720.5	77.00886	tiiru	mark01vox_ker	130394.977	130704.977	0.5967742
