sl_rowIdx	labels	start	end	db_uuid	session	bundle	start_item_id	end_item_id	level	attribute	start_item_seq_idx	end_item_seq_idx	type	sample_start	sample_end	sample_rate	times_orig	times_rel	times_norm	F1	F2	F3	F4	RMS	word_label	check_bundle	word_start	word_end	position_in_word
  1	i	 37999.989	 38049.966	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	1058	1058	phone	phone	  81	  81	SEGMENT	 1675800	 1678003	44100	 38024.977	 24.98866	0.5	 248.0	2122.5	3035.0	3669.5	73.90388	batisi	mark01vox_ker	 37709.989	 38439.989	0.43149132
  2	i	 38179.989	 38439.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	1060	1060	phone	phone	  83	  83	SEGMENT	 1683738	 1695203	44100	 38309.989	130.00000	0.5	 293.0	2211.0	3054.5	3714.5	75.98562	batisi	mark01vox_ker	 37709.989	 38439.989	0.82191781
  3	i	 46959.989	 47009.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	1133	1133	phone	phone	 156	 156	SEGMENT	 2070936	 2073140	44100	 46984.989	 25.00000	0.5	 338.0	2299.0	2781.5	3547.0	76.60066	kir	mark01vox_ker	 46749.989	 47069.989	0.73437500
  4	i	 52559.989	 52619.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	1196	1196	phone	phone	 219	 219	SEGMENT	 2317896	 2320541	44100	 52589.989	 30.00000	0.5	 361.5	2032.0	2467.0	3615.0	76.79606	vil	mark01vox_ker	 52479.989	 52719.989	0.45833333
  5	i	 61369.989	 61449.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	1289	1289	phone	phone	 312	 312	SEGMENT	 2706417	 2709944	44100	 61409.989	 40.00000	0.5	 333.5	2206.0	2862.5	3802.0	76.33525	faɗfaɗi	mark01vox_ker	 60879.989	 61449.989	0.92982456
  6	i	 97772.982	 97822.982	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	1443	1443	phone	phone	 466	 466	SEGMENT	 4311789	 4313993	44100	 97797.982	 25.00000	0.5	 327.5	1803.5	2419.5	3697.5	76.15543	nazareti	mark01vox_ker	 96662.982	 97822.982	0.97844828
  7	i	 98922.982	 99032.982	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	1460	1460	phone	phone	 483	 483	SEGMENT	 4362504	 4367354	44100	 98977.982	 55.00000	0.5	 335.5	2188.5	3182.0	3688.0	76.14478	galile	mark01vox_ker	 98732.982	 99182.982	0.54444444
  8	i	104702.982	104732.982	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	1520	1520	phone	phone	 543	 543	SEGMENT	 4617402	 4618724	44100	104717.982	 15.00000	0.5	 430.5	1628.5	2438.5	3445.0	72.15302	faɗi	mark01vox_ker	104472.982	104732.982	0.94230769
  9	i	106414.977	106464.977	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	1541	1541	phone	phone	 564	 564	SEGMENT	 4692901	 4695105	44100	106439.977	 25.00000	0.5	 330.0	2174.5	2703.0	3792.0	77.86863	li	mark01vox_ker	106354.977	106464.977	0.77272727
 10	i	113624.977	113694.977	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	1622	1622	phone	phone	 645	 645	SEGMENT	 5010862	 5013948	44100	113659.977	 35.00000	0.5	 317.5	2173.5	2927.5	3728.5	77.63129	damdi	mark01vox_ker	113284.977	113694.977	0.91463415
 11	i	116364.977	116464.977	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	1648	1648	phone	phone	 671	 671	SEGMENT	 5131696	 5136105	44100	116414.977	 50.00000	0.5	 318.5	2229.5	3088.0	3764.0	66.58876	faɗi	mark01vox_ker	116154.977	116464.977	0.83870968
 12	i	133154.977	133274.977	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	1711	1711	phone	phone	 734	 734	SEGMENT	 5872135	 5877426	44100	133214.977	 60.00000	0.5	 286.5	2361.5	3161.5	3862.5	70.01259	faɗi	mark01vox_ker	132934.977	133274.977	0.82352941
 13	i	153109.989	153189.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	1885	1885	phone	phone	 908	 908	SEGMENT	 6752151	 6755678	44100	153149.989	 40.00000	0.5	 300.0	2289.5	3275.5	3874.0	71.81630	galileŋ	mark01vox_ker	152919.966	153419.966	0.46004535
 14	i	171397.971	171477.971	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	1974	1974	phone	phone	 997	 997	SEGMENT	 7558651	 7562178	44100	171437.971	 40.00000	0.5	 321.0	2301.0	3050.5	3786.0	74.26548	galileŋ	mark01vox_ker	171207.971	171657.971	0.51111111
 15	i	173417.971	173457.971	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	1992	1992	phone	phone	1015	1015	SEGMENT	 7647733	 7649496	44100	173437.971	 20.00000	0.5	 297.5	2175.5	2932.0	3821.5	75.56366	simoŋ	mark01vox_ker	173297.971	173627.971	0.42424242
 16	i	176037.971	176347.971	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	2020	2020	phone	phone	1043	1043	SEGMENT	 7763275	 7776945	44100	176192.971	155.00000	0.5	 324.0	2278.0	2975.5	3760.0	77.96098	wi	mark01vox_ker	176007.971	176347.971	0.54411765
 17	i	176917.971	176977.971	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	2028	2028	phone	phone	1051	1051	SEGMENT	 7802083	 7804728	44100	176947.971	 30.00000	0.5	 268.5	2254.5	3050.5	3797.0	69.38815	birkaŋa	mark01vox_ker	176827.971	177327.971	0.24000000
 18	i	190172.982	190282.982	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	2099	2099	phone	phone	1122	1122	SEGMENT	 8386629	 8391479	44100	190227.982	 55.00000	0.5	 280.0	2344.0	3243.0	3832.0	67.46113	faɗi	mark01vox_ker	189942.982	190282.982	0.83823529
 19	i	198054.977	198274.977	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	2167	2167	phone	phone	1190	1190	SEGMENT	 8734225	 8743926	44100	198164.977	110.00000	0.5	 321.5	2206.5	2867.0	3787.5	76.91645	zaki	mark01vox_ker	197794.977	198274.977	0.77083333
 20	i	199324.977	199424.977	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	2181	2181	phone	phone	1204	1204	SEGMENT	 8790232	 8794641	44100	199374.977	 50.00000	0.5	 304.0	2243.5	3345.5	3809.0	65.93455	laki	mark01vox_ker	199124.977	199424.977	0.83333333
 21	i	201404.977	201454.977	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	2195	2195	phone	phone	1218	1218	SEGMENT	 8881960	 8884164	44100	201429.977	 25.00000	0.5	 353.0	2013.5	2724.0	3732.5	76.54643	turtiŋa	mark01vox_ker	201064.977	201734.977	0.54477612
 22	i	204934.977	204964.977	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	2235	2235	phone	phone	1258	1258	SEGMENT	 9037633	 9038955	44100	204949.977	 15.00000	0.5	 299.5	1680.5	2562.5	3121.0	76.36907	faɗi	mark01vox_ker	204714.977	204964.977	0.94000000
 23	i	208234.977	208454.977	22242746-4dd6-11ea-9772-73579cec3763	0000	mark01vox_ker	2264	2264	phone	phone	1287	1287	SEGMENT	 9183163	 9192864	44100	208344.977	110.00000	0.5	 297.0	1227.5	2725.5	3582.5	74.79039	zaki	mark01vox_ker	207954.977	208454.977	0.78000000
