sl_rowIdx	labels	start	end	db_uuid	session	bundle	start_item_id	end_item_id	level	attribute	start_item_seq_idx	end_item_seq_idx	type	sample_start	sample_end	sample_rate	times_orig	times_rel	times_norm	F1	F2	F3	F4	RMS	word_label	check_bundle	word_start	word_end	position_in_word
  1	u	 11089.989	 11149.989	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1031	1031	phone	phone	  54	  54	SEGMENT	  489069	  491714	44100	 11119.989	 30.00000	0.5	328.0	1285.0	2459.5	3766.5	73.95601	kristu	mark01vox_ker	 10739.989	 11149.989	0.92682927
  2	u	 39029.989	 39089.989	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1066	1066	phone	phone	  89	  89	SEGMENT	 1721223	 1723868	44100	 39059.989	 30.00000	0.5	314.0	1104.0	2561.5	3937.5	75.09565	duru	mark01vox_ker	 38979.966	 39259.989	0.28577213
  3	u	 39139.989	 39259.989	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1068	1068	phone	phone	  91	  91	SEGMENT	 1726074	 1731365	44100	 39199.989	 60.00000	0.5	351.5	1118.0	2498.0	3807.5	75.91585	duru	mark01vox_ker	 38979.966	 39259.989	0.78573164
  4	u	 48619.989	 48669.989	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1153	1153	phone	phone	 176	 176	SEGMENT	 2144142	 2146346	44100	 48644.989	 25.00000	0.5	314.0	1557.0	2439.5	3394.5	73.50111	giidu	mark01vox_ker	 48409.989	 48669.989	0.90384615
  5	uː	 49009.989	 49119.989	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1161	1161	phone	phone	 184	 184	SEGMENT	 2161341	 2166191	44100	 49064.989	 55.00000	0.5	309.0	 956.0	2451.5	3721.5	75.68010	cuuru	mark01vox_ker	 48899.989	 49249.989	0.47142857
  6	u	 49159.989	 49249.989	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1163	1163	phone	phone	 186	 186	SEGMENT	 2167956	 2171924	44100	 49204.989	 45.00000	0.5	319.0	 887.0	2532.5	3746.0	75.79410	cuuru	mark01vox_ker	 48899.989	 49249.989	0.87142857
  7	u	 54919.989	 54959.989	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1220	1220	phone	phone	 243	 243	SEGMENT	 2421972	 2423735	44100	 54939.989	 20.00000	0.5	383.0	1355.0	2491.5	3944.5	74.34152	suru	mark01vox_ker	 54779.989	 55039.989	0.61538462
  8	u	 54999.989	 55039.989	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1222	1222	phone	phone	 245	 245	SEGMENT	 2425500	 2427263	44100	 55019.989	 20.00000	0.5	351.0	1075.5	2494.0	3702.0	74.90126	suru	mark01vox_ker	 54779.989	 55039.989	0.92307692
  9	u	 64129.989	 64169.989	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1320	1320	phone	phone	 343	 343	SEGMENT	 2828133	 2829896	44100	 64149.989	 20.00000	0.5	379.5	1336.5	2470.5	3632.5	79.12014	suruŋ	mark01vox_ker	 63989.989	 64359.989	0.43243243
 10	u	 64219.989	 64259.989	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1322	1322	phone	phone	 345	 345	SEGMENT	 2832102	 2833865	44100	 64239.989	 20.00000	0.5	423.0	1139.0	2504.0	3152.0	81.04699	suruŋ	mark01vox_ker	 63989.989	 64359.989	0.67567568
 11	u	 69049.989	 69129.989	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1366	1366	phone	phone	 389	 389	SEGMENT	 3045105	 3048632	44100	 69089.989	 40.00000	0.5	370.5	1141.5	2529.5	3954.5	77.96738	təwru	mark01vox_ker	 68789.989	 69129.989	0.88235294
 12	u	 99932.982	 99972.982	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1469	1469	phone	phone	 492	 492	SEGMENT	 4407045	 4408808	44100	 99952.982	 20.00000	0.5	364.0	1688.0	2548.0	3858.5	75.95097	tuluŋ	mark01vox_ker	 99882.982	100082.982	0.35000000
 13	u	100012.982	100042.982	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1471	1471	phone	phone	 494	 494	SEGMENT	 4410573	 4411895	44100	100027.982	 15.00000	0.5	405.0	1377.0	2457.0	3343.0	77.27435	tuluŋ	mark01vox_ker	 99882.982	100082.982	0.72500000
 14	uː	101712.982	101812.982	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1489	1489	phone	phone	 512	 512	SEGMENT	 4485543	 4489952	44100	101762.982	 50.00000	0.5	325.5	 967.0	2494.0	3737.5	77.82362	juunu	mark01vox_ker	101622.982	101892.982	0.51851852
 15	u	101862.982	101892.982	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1491	1491	phone	phone	 514	 514	SEGMENT	 4492158	 4493480	44100	101877.982	 15.00000	0.5	284.0	1204.0	2491.0	2734.0	73.38860	juunu	mark01vox_ker	101622.982	101892.982	0.94444444
 16	u	108424.977	108464.977	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1565	1565	phone	phone	 588	 588	SEGMENT	 4781542	 4783305	44100	108444.977	 20.00000	0.5	344.5	1258.5	2469.0	3759.0	75.87310	duru	mark01vox_ker	108354.977	108574.977	0.40909091
 17	u	108504.977	108574.977	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1567	1567	phone	phone	 590	 590	SEGMENT	 4785070	 4788156	44100	108539.977	 35.00000	0.5	359.0	 966.5	2484.0	3222.5	79.00969	duru	mark01vox_ker	108354.977	108574.977	0.84090909
 18	u	112294.977	112324.977	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1608	1608	phone	phone	 631	 631	SEGMENT	 4952209	 4953531	44100	112309.977	 15.00000	0.5	394.5	1794.0	2484.0	3586.0	76.60216	tiiru	mark01vox_ker	112064.977	112324.977	0.94230769
 19	uː	115914.977	116014.977	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1640	1640	phone	phone	 663	 663	SEGMENT	 5111851	 5116260	44100	115964.977	 50.00000	0.5	337.0	 988.0	2462.5	3765.0	76.98140	cuuru	mark01vox_ker	115654.977	116074.977	0.73809524
 20	u	116044.977	116074.977	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1642	1642	phone	phone	 665	 665	SEGMENT	 5117584	 5118906	44100	116059.977	 15.00000	0.5	314.0	1261.5	1925.0	2824.5	68.12865	cuuru	mark01vox_ker	115654.977	116074.977	0.96428571
 21	u	130674.977	130704.977	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1679	1679	phone	phone	 702	 702	SEGMENT	 5762767	 5764089	44100	130689.977	 15.00000	0.5	346.0	1830.5	2493.5	3550.5	76.79726	tiiru	mark01vox_ker	130394.977	130704.977	0.95161290
 22	u	139074.977	139134.977	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1758	1758	phone	phone	 781	 781	SEGMENT	 6133207	 6135852	44100	139104.977	 30.00000	0.5	315.0	 938.5	2520.5	3794.0	76.45990	gulu	mark01vox_ker	138994.977	139224.977	0.47826087
 23	u	139184.977	139224.977	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1760	1760	phone	phone	 783	 783	SEGMENT	 6138058	 6139821	44100	139204.977	 20.00000	0.5	259.5	1265.0	2505.0	3549.0	72.46567	gulu	mark01vox_ker	138994.977	139224.977	0.91304348
 24	u	139314.977	139374.977	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1762	1762	phone	phone	 785	 785	SEGMENT	 6143791	 6146436	44100	139344.977	 30.00000	0.5	313.5	1016.0	2503.0	3689.5	78.00428	kuɗu	mark01vox_ker	139224.977	139514.977	0.41379310
 25	u	139414.977	139514.977	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1764	1764	phone	phone	 787	 787	SEGMENT	 6148201	 6152610	44100	139464.977	 50.00000	0.5	315.0	1060.0	2514.0	3762.0	77.92265	kuɗu	mark01vox_ker	139224.977	139514.977	0.82758621
 26	uː	145684.977	145784.977	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1820	1820	phone	phone	 843	 843	SEGMENT	 6424708	 6429117	44100	145734.977	 50.00000	0.5	296.0	 886.5	2482.5	3714.0	75.02007	guudu	mark01vox_ker	145624.977	145954.977	0.33333333
 27	u	145844.977	145954.977	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark01vox_ker	1822	1822	phone	phone	 845	 845	SEGMENT	 6431764	 6436614	44100	145899.977	 55.00000	0.5	350.0	1191.0	2453.5	3649.5	77.40987	guudu	mark01vox_ker	145624.977	145954.977	0.83333333
