sl_rowIdx	labels	start	end	db_uuid	session	bundle	start_item_id	end_item_id	level	attribute	start_item_seq_idx	end_item_seq_idx	type	sample_start	sample_end	sample_rate	times_orig	times_rel	times_norm	F1	F2	F3	F4	RMS	word_label	check_bundle	word_start	word_end	position_in_word
  1	u	 82381.98	 82421.98	05c71658-4e8f-11ea-90cc-cd90e9c29d26	0000	mark02vox_ker	 328	 328	phone	phone	  18	  18	SEGMENT	 3633046	 3634809	44100	 82401.98	 20.00000	0.5	297.0	 858.5	2381.5	3576.0	71.08137	kumsiŋ	mark02vox_ker	 82291.98	 82681.98	0.2820513
  2	u	 85871.98	 85921.98	05c71658-4e8f-11ea-90cc-cd90e9c29d26	0000	mark02vox_ker	 367	 367	phone	phone	  57	  57	SEGMENT	 3786955	 3789159	44100	 85896.98	 25.00000	0.5	301.0	 806.5	2612.5	1690.5	70.64640	hulum	mark02vox_ker	 85841.98	 86121.98	0.1964286
  3	u	 85981.98	 86061.98	05c71658-4e8f-11ea-90cc-cd90e9c29d26	0000	mark02vox_ker	 369	 369	phone	phone	  59	  59	SEGMENT	 3791806	 3795333	44100	 86021.98	 40.00000	0.5	386.0	 838.0	2326.5	3179.0	75.57976	hulum	mark02vox_ker	 85841.98	 86121.98	0.6428571
  4	u	 86321.98	 86361.98	05c71658-4e8f-11ea-90cc-cd90e9c29d26	0000	mark02vox_ker	 374	 374	phone	phone	  64	  64	SEGMENT	 3806800	 3808563	44100	 86341.98	 20.00000	0.5	316.5	 797.5	2336.5	3626.5	72.88060	hurufiŋ	mark02vox_ker	 86211.98	 86681.98	0.2765957
  5	u	 86401.98	 86491.98	05c71658-4e8f-11ea-90cc-cd90e9c29d26	0000	mark02vox_ker	 376	 376	phone	phone	  66	  66	SEGMENT	 3810328	 3814296	44100	 86446.98	 45.00000	0.5	407.0	 776.5	2238.0	2974.5	74.56442	hurufiŋ	mark02vox_ker	 86211.98	 86681.98	0.5000000
  6	u	 90311.98	 90341.98	05c71658-4e8f-11ea-90cc-cd90e9c29d26	0000	mark02vox_ker	 416	 416	phone	phone	 106	 106	SEGMENT	 3982759	 3984081	44100	 90326.98	 15.00000	0.5	224.5	1546.5	2806.0	3790.0	61.49714	giidu	mark02vox_ker	 90061.98	 90341.98	0.9464286
  7	u	 98319.99	 98359.99	05c71658-4e8f-11ea-90cc-cd90e9c29d26	0000	mark02vox_ker	 501	 501	phone	phone	 191	 191	SEGMENT	 4335912	 4337675	44100	 98339.99	 20.00000	0.5	294.0	 901.0	2253.0	3196.0	72.58801	hulúm	mark02vox_ker	 98289.99	 98629.99	0.1470588
  8	u	 98439.99	 98549.99	05c71658-4e8f-11ea-90cc-cd90e9c29d26	0000	mark02vox_ker	 503	 503	phone	phone	 193	 193	SEGMENT	 4341204	 4346054	44100	 98494.99	 55.00000	0.5	414.5	1017.0	2296.0	3222.5	77.67434	hulúm	mark02vox_ker	 98289.99	 98629.99	0.6029412
  9	u	101539.99	101609.99	05c71658-4e8f-11ea-90cc-cd90e9c29d26	0000	mark02vox_ker	 541	 541	phone	phone	 231	 231	SEGMENT	 4477914	 4481000	44100	101574.99	 35.00000	0.5	254.5	 885.0	2147.0	3220.0	68.53331	giiduŋ	mark02vox_ker	101279.99	101659.99	0.7763158
 10	u	230129.99	230169.99	05c71658-4e8f-11ea-90cc-cd90e9c29d26	0000	mark02vox_ker	 601	 601	phone	phone	 291	 291	SEGMENT	10148733	10150496	44100	230149.99	 20.00000	0.5	351.0	 913.5	2212.0	2871.5	75.53714	gədəəruŋ	mark02vox_ker	229779.99	230209.99	0.8604651
