sl_rowIdx	labels	start	end	db_uuid	session	bundle	start_item_id	end_item_id	level	attribute	start_item_seq_idx	end_item_seq_idx	type	sample_start	sample_end	sample_rate	times_orig	times_rel	times_norm	F1	F2	F3	F4	RMS	word_label	check_bundle	word_start	word_end	position_in_word
1	u	7899.988662131519	7949.98866213152	a58b7922-aa42-11ea-a430-31a412b3a9e8	0000	mark01vox_ker	994	994	phone	phone	17	17	SEGMENT	348390	350594	44100	7924.98866213152	25.000000000000455	0.5	313.9999999999956	1031.4999999999754	2479.9999999999955	3753.4999999999886	75.7141227722164	gud	mark01vox_ker	7849.988662131519	7999.988662131519	0.5000000000000061
2	u	10689.988662131518	10739.98866213152	a58b7922-aa42-11ea-a430-31a412b3a9e8	0000	mark01vox_ker	1025	1025	phone	phone	48	48	SEGMENT	471429	473633	44100	10714.98866213152	25.00000000000091	0.5	1144.99999999969	2058.499999999967	3182.9999999997563	4343.49999999983	48.52889633177809	yeesu	mark01vox_ker	10419.98866213152	10739.98866213152	0.921875
3	u	39639.98866213152	39679.98866213152	a58b7922-aa42-11ea-a430-31a412b3a9e8	0000	mark01vox_ker	1074	1074	phone	phone	97	97	SEGMENT	1748124	1749887	44100	39659.98866213152	20	0.5	319.5	904.5	2450	3464.5	74.61922073364258	fula	mark01vox_ker	39519.988662131516	39879.988662131516	0.3888888888889091
4	u	50939.988662131516	50989.988662131516	a58b7922-aa42-11ea-a430-31a412b3a9e8	0000	mark01vox_ker	1181	1181	phone	phone	204	204	SEGMENT	2246454	2248658	44100	50964.988662131516	25	0.5	276.5000000000015	2159.4999999999986	2635.0000000000146	3671.5000000000596	73.56218719482433	zudeŋ	mark01vox_ker	50789.98866213152	51299.988662131516	0.3431372549019514
5	u	53099.98866213152	53149.988662131516	a58b7922-aa42-11ea-a430-31a412b3a9e8	0000	mark01vox_ker	1203	1203	phone	phone	226	226	SEGMENT	2341710	2343914	44100	53124.98866213152	24.999999999996362	0.5	382.50000000001086	2013.500000000005	2501.500000000008	3622.0000000000146	75.99488067627	zeruzalem	mark01vox_ker	52879.988662131516	53599.98866213152	0.34027777777778445
6	u	58899.988662131516	58969.98866213152	a58b7922-aa42-11ea-a430-31a412b3a9e8	0000	mark01vox_ker	1262	1262	phone	phone	285	285	SEGMENT	2597490	2600576	44100	58934.98866213152	35.00000000000364	0.5	297.0000000000029	1720.4999999999804	2418.00000000001	3760.000000000006	73.06916809082058	zurdeŋa	mark01vox_ker	58789.98866213152	59299.988662131516	0.2843137254902001
7	u	60329.988662131516	60369.988662131516	a58b7922-aa42-11ea-a430-31a412b3a9e8	0000	mark01vox_ker	1276	1276	phone	phone	299	299	SEGMENT	2660553	2662316	44100	60349.988662131516	20	0.5	283.000000000061	1004.0000000006911	2382.9999999998986	3771.499999999929	73.43831634522878	kuya	mark01vox_ker	60269.988662131516	60579.988662131516	0.25806451612903225
8	u	72899.98866213152	72989.98866213152	a58b7922-aa42-11ea-a430-31a412b3a9e8	0000	mark01vox_ker	1410	1410	phone	phone	433	433	SEGMENT	3214890	3218858	44100	72944.98866213152	45	0.5	351.5	1036.5	2496	3759	77.70499420166016	tum	mark01vox_ker	72839.98866213152	73089.98866213152	0.42
9	u	96382.98185941043	96412.98185941044	a58b7922-aa42-11ea-a430-31a412b3a9e8	0000	mark01vox_ker	1432	1432	phone	phone	455	455	SEGMENT	4250490	4251812	44100	96397.98185941044	15.000000000007276	0.5	0	1712.500000000424	0	3479.9999999989777	60.437828063976575	yeesu	mark01vox_ker	96122.98185941043	96412.98185941044	0.9482758620689681
10	u	103992.98185941043	104052.98185941044	a58b7922-aa42-11ea-a430-31a412b3a9e8	0000	mark01vox_ker	1511	1511	phone	phone	534	534	SEGMENT	4586091	4588736	44100	104022.98185941044	30.000000000007276	0.5	343.50000000046896	1857.4999999988138	2371.5000000001933	3731.4999999996967	73.95022583008597	zurdeŋa	mark01vox_ker	103882.98185941043	104472.98185941043	0.237288135593245
